<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.08.04	1.34271	1.34307	1.34091	1.34206	41547	0	0
2014.08.05	1.34207	1.34242	1.33576	1.33705	51739	0	0
2014.08.06	1.33706	1.33868	1.33326	1.33788	55116	0	0
2014.08.07	1.33793	1.33932	1.33366	1.33564	35869	0	0
2014.08.08	1.33574	1.34317	1.33428	1.34086	58523	0	0
2014.08.10	1.34067	1.34097	1.34015	1.34033	2227	0	0
2014.08.11	1.34033	1.34077	1.33798	1.33809	39717	0	0
2014.08.12	1.33810	1.33822	1.33353	1.33640	33517	0	0
2014.08.13	1.33648	1.34147	1.33415	1.33649	49884	0	0
2014.08.14	1.33653	1.34071	1.33480	1.33603	28889	0	0
2014.08.15	1.33598	1.34112	1.33578	1.33985	29103	0	0
2014.08.17	1.33879	1.33973	1.33871	1.33886	2385	0	0
2014.08.18	1.33892	1.33986	1.33525	1.33592	41865	0	0
2014.08.19	1.33594	1.33597	1.33126	1.33193	26796	0	0
2014.08.20	1.33196	1.33209	1.32547	1.32582	63595	0	0
2014.08.21	1.32583	1.32879	1.32411	1.32776	48252	0	0
2014.08.22	1.32775	1.32961	1.32200	1.32393	58941	0	0
2014.08.24	1.31937	1.32037	1.31845	1.31962	6369	0	0
2014.08.25	1.31962	1.32098	1.31780	1.31851	38957	0	0
2014.08.26	1.31854	1.32142	1.31642	1.31687	60066	0	0
2014.08.27	1.31686	1.32094	1.31518	1.31910	66245	0	0
2014.08.28	1.31915	1.32202	1.31590	1.31832	65260	0	0
2014.08.29	1.31828	1.31956	1.31299	1.31310	51611	0	0
2014.08.31	1.31251	1.31343	1.31236	1.31260	2371	0	0
2014.09.01	1.31266	1.31450	1.31183	1.31302	33746	0	0
2014.09.02	1.31305	1.31362	1.31096	1.31303	51016	0	0
2014.09.03	1.31299	1.31595	1.31218	1.31472	65334	0	0
2014.09.04	1.31473	1.31534	1.29194	1.29287	81671	0	0
2014.09.05	1.29289	1.29874	1.29242	1.29496	71799	0	0
2014.09.07	1.29513	1.29575	1.29482	1.29511	4521	0	0
2014.09.08	1.29504	1.29583	1.28808	1.28906	64090	0	0
2014.09.09	1.28906	1.29568	1.28590	1.29402	79346	0	0
2014.09.10	1.29385	1.29623	1.28831	1.29159	91521	0	0
2014.09.11	1.29162	1.29514	1.28967	1.29215	75228	0	0
2014.09.12	1.29224	1.29786	1.29083	1.29614	80961	0	0
2014.09.14	1.29666	1.29691	1.29578	1.29586	2185	0	0
2014.09.15	1.29584	1.29684	1.29078	1.29375	60005	0	0
2014.09.16	1.29370	1.29944	1.29217	1.29570	86642	0	0
2014.09.17	1.29573	1.29807	1.28331	1.28480	88217	0	0
2014.09.18	1.28487	1.29296	1.28487	1.29195	86120	0	0
2014.09.19	1.29185	1.29284	1.28223	1.28255	83482	0	0
2014.09.21	1.28289	1.28433	1.28240	1.28390	1760	0	0
2014.09.22	1.28394	1.28671	1.28159	1.28492	70603	0	0
2014.09.23	1.28482	1.29004	1.28385	1.28480	66562	0	0
2014.09.24	1.28479	1.28632	1.27734	1.27759	66772	0	0
2014.09.25	1.27767	1.27825	1.26958	1.27542	84582	0	0
2014.09.26	1.27532	1.27592	1.26761	1.26814	69690	0	0
2014.09.28	1.26807	1.26823	1.26653	1.26744	3798	0	0
2014.09.29	1.26752	1.27144	1.26630	1.26891	68933	0	0
2014.09.30	1.26884	1.27018	1.25705	1.26273	82878	0	0
2014.10.01	1.26277	1.26389	1.25827	1.26204	86689	0	0
2014.10.02	1.26221	1.26981	1.26133	1.26672	105794	0	0
2014.10.03	1.26674	1.26677	1.25001	1.25149	78122	0	0
2014.10.05	1.25112	1.25146	1.25081	1.25117	2364	0	0
2014.10.06	1.25115	1.26736	1.25112	1.26424	53292	0	0
2014.10.07	1.26426	1.26822	1.25828	1.26638	110493	0	0
2014.10.08	1.26627	1.27539	1.26218	1.27399	111627	0	0
2014.10.09	1.27375	1.27907	1.26634	1.26873	130455	0	0
2014.10.10	1.26867	1.27151	1.26050	1.26250	94686	0	0
2014.10.12	1.26283	1.26464	1.26192	1.26385	2687	0	0
2014.10.13	1.26380	1.27671	1.26330	1.27208	106366	0	0
2014.10.14	1.27204	1.27307	1.26307	1.26404	97752	0	0
2014.10.15	1.26422	1.28857	1.26238	1.28194	149978	0	0
2014.10.16	1.28195	1.28440	1.27049	1.28034	143621	0	0
2014.10.17	1.28041	1.28360	1.27430	1.27588	84650	0	0
2014.10.19	1.27535	1.27593	1.27354	1.27464	5711	0	0
2014.10.20	1.27474	1.28162	1.27308	1.27935	84471	0	0
2014.10.21	1.27924	1.28397	1.27055	1.27129	94362	0	0
2014.10.22	1.27120	1.27392	1.26366	1.26405	90723	0	0
2014.10.23	1.26424	1.26759	1.26131	1.26484	86692	0	0
2014.10.24	1.26485	1.26952	1.26342	1.26687	76989	0	0
2014.10.26	1.26722	1.26850	1.26711	1.26752	2515	0	0
2014.10.27	1.26757	1.27227	1.26653	1.27014	76519	0	0
2014.10.28	1.27014	1.27638	1.26841	1.27362	87864	0	0
2014.10.29	1.27365	1.27700	1.26255	1.26307	99240	0	0
2014.10.30	1.26314	1.26319	1.25464	1.26081	114304	0	0
2014.10.31	1.26068	1.26080	1.24850	1.25192	114385	0	0
2014.11.02	1.25011	1.25134	1.24980	1.25010	2232	0	0
2014.11.03	1.25025	1.25105	1.24384	1.24913	109183	0	0
2014.11.04	1.24900	1.25766	1.24891	1.25508	98026	0	0
2014.11.05	1.25504	1.25666	1.24579	1.24771	80325	0	0
2014.11.06	1.24776	1.25328	1.23636	1.23792	98364	0	0
2014.11.07	1.23766	1.24685	1.23569	1.24539	99153	0	0
2014.11.09	1.24810	1.24844	1.24585	1.24594	2668	0	0
2014.11.10	1.24604	1.25083	1.24129	1.24251	97555	0	0
2014.11.11	1.24260	1.24989	1.23936	1.24748	51694	0	0
2014.11.12	1.24756	1.24974	1.24183	1.24289	125908	0	0
2014.11.13	1.24282	1.24911	1.24278	1.24727	96765	0	0
2014.11.14	1.24719	1.25456	1.23979	1.25245	103820	0	0
2014.11.16	1.25317	1.25366	1.25125	1.25204	2345	0	0
2014.11.17	1.25207	1.25770	1.24424	1.24491	53363	0	0
2014.11.18	1.24496	1.25424	1.24481	1.25319	54722	0	0
2014.11.19	1.25325	1.25990	1.25122	1.25395	75283	0	0
2014.11.20	1.25382	1.25745	1.25035	1.25421	112987	0	0
2014.11.21	1.25416	1.25675	1.23742	1.23865	118185	0	0
2014.11.23	1.23621	1.23745	1.23583	1.23710	3378	0	0
2014.11.24	1.23715	1.24441	1.23715	1.24330	94597	0	0
2014.11.25	1.24335	1.24864	1.24020	1.24792	44468	0	0
2014.11.26	1.24781	1.25307	1.24435	1.25033	57349	0	0
2014.11.27	1.25032	1.25229	1.24550	1.24586	61820	0	0
2014.11.28	1.24573	1.24896	1.24256	1.24492	78461	0	0
2014.11.30	1.24707	1.24720	1.24310	1.24357	5928	0	0
2014.12.01	1.24351	1.25060	1.24186	1.24691	100312	0	0
2014.12.02	1.24684	1.24753	1.23762	1.23867	83351	0	0
2014.12.03	1.23862	1.23896	1.23003	1.23132	96663	0	0
2014.12.04	1.23114	1.24556	1.22770	1.23847	125338	0	0
2014.12.05	1.23848	1.23922	1.22702	1.22817	93704	0	0
2014.12.07	1.22791	1.23021	1.22785	1.22930	2414	0	0
2014.12.08	1.22925	1.23427	1.22465	1.23138	99875	0	0
2014.12.09	1.23142	1.24471	1.22914	1.23870	123875	0	0
2014.12.10	1.23855	1.24858	1.23611	1.24794	108692	0	0
2014.12.11	1.24801	1.24943	1.23696	1.23925	71727	0	0
2014.12.12	1.23910	1.24846	1.23837	1.24596	106644	0	0
2014.12.14	1.24677	1.24835	1.24559	1.24631	3870	0	0
2014.12.15	1.24617	1.24780	1.24139	1.24394	113365	0	0
2014.12.16	1.24400	1.25691	1.24348	1.25099	141756	0	0
2014.12.17	1.25109	1.25148	1.23198	1.23359	142488	0	0
2014.12.18	1.23362	1.23517	1.22650	1.22875	120622	0	0
2014.12.19	1.22876	1.23015	1.22194	1.22289	54640	0	0
2014.12.21	1.22208	1.22261	1.22195	1.22242	913	0	0
2014.12.22	1.22243	1.22720	1.22165	1.22227	23934	0	0
2014.12.23	1.22230	1.22455	1.21648	1.21750	24316	0	0
2014.12.24	1.21772	1.22194	1.21688	1.21953	50461	0	0
2014.12.25	1.22090	1.22260	1.22041	1.22076	1396	0	0
2014.12.26	1.22041	1.22213	1.21676	1.21785	33129	0	0
2014.12.28	1.21795	1.21855	1.21662	1.21675	1918	0	0
2014.12.29	1.21687	1.22203	1.21423	1.21522	39616	0	0
2014.12.30	1.21523	1.21869	1.21230	1.21603	43453	0	0
2014.12.31	1.21592	1.21688	1.20966	1.20970	31117	0	0
2015.01.01	1.20994	1.21037	1.20776	1.20867	1560	0	0
2015.01.02	1.20870	1.20888	1.19967	1.20004	77692	0	0
2015.01.04	1.19114	1.19530	1.18672	1.19460	6936	0	0
2015.01.05	1.19495	1.19753	1.18864	1.19366	37558	0	0
2015.01.06	1.19361	1.19683	1.18486	1.18715	38120	0	0
2015.01.07	1.18720	1.18954	1.18013	1.18327	40248	0	0
2015.01.08	1.18321	1.18466	1.17537	1.17913	36991	0	0
2015.01.09	1.17905	1.18443	1.17621	1.18387	63687	0	0
2015.01.11	1.18523	1.18691	1.18357	1.18689	4385	0	0
2015.01.12	1.18676	1.18704	1.17856	1.18312	73332	0	0
2015.01.13	1.18309	1.18590	1.17531	1.17761	79404	0	0
2015.01.14	1.17759	1.18449	1.17267	1.17832	79148	0	0
2015.01.15	1.17828	1.17892	1.15675	1.16353	100901	0	0
2015.01.16	1.16357	1.16484	1.14593	1.15632	99827	0	0
2015.01.18	1.15490	1.15724	1.15457	1.15603	3663	0	0
2015.01.19	1.15602	1.16383	1.15510	1.15939	75745	0	0
2015.01.20	1.15951	1.16139	1.15397	1.15446	76298	0	0
2015.01.21	1.15440	1.16739	1.15406	1.16137	76752	0	0
2015.01.22	1.16148	1.16531	1.13151	1.13458	85758	0	0
2015.01.23	1.13451	1.13717	1.11138	1.12025	91557	0	0
2015.01.25	1.11790	1.11790	1.10971	1.11410	7938	0	0
2015.01.26	1.11397	1.12948	1.11382	1.12489	89384	0	0
2015.01.27	1.12485	1.14221	1.12230	1.13671	82076	0	0
2015.01.28	1.13665	1.13816	1.12713	1.12825	81834	0	0
2015.01.29	1.12817	1.13662	1.12613	1.13336	74353	0	0
2015.01.30	1.13347	1.13631	1.12760	1.12836	70485	0	0
2015.02.01	1.13151	1.13269	1.12998	1.13065	4729	0	0
2015.02.02	1.13038	1.13609	1.12914	1.13378	61623	0	0
2015.02.03	1.13365	1.15332	1.13120	1.14558	63983	0	0
2015.02.04	1.14553	1.14837	1.13028	1.13158	80038	0	0
2015.02.05	1.13162	1.14979	1.13150	1.14698	74650	0	0
2015.02.06	1.14697	1.14732	1.13104	1.13129	59114	0	0
2015.02.08	1.12952	1.13246	1.12894	1.13127	3952	0	0
2015.02.09	1.13129	1.13586	1.12696	1.13234	75881	0	0
2015.02.10	1.13232	1.13448	1.12724	1.13177	69868	0	0
2015.02.11	1.13176	1.13510	1.12795	1.13100	76499	0	0
2015.02.12	1.13079	1.14223	1.13028	1.14028	71866	0	0
2015.02.13	1.14022	1.14418	1.13795	1.13870	65794	0	0
2015.02.15	1.14060	1.14124	1.13859	1.13967	1965	0	0
2015.02.16	1.13968	1.14284	1.13188	1.13315	51041	0	0
2015.02.17	1.13322	1.14464	1.13214	1.14031	65357	0	0
2015.02.18	1.14026	1.14149	1.13334	1.13986	66011	0	0
2015.02.19	1.13987	1.14493	1.13545	1.13647	45818	0	0
2015.02.20	1.13646	1.14278	1.12786	1.13768	90193	0	0
2015.02.22	1.14021	1.14021	1.13761	1.13794	2317	0	0
2015.02.23	1.13780	1.13925	1.12948	1.13330	52743	0	0
2015.02.24	1.13323	1.13575	1.12891	1.13384	67546	0	0
2015.02.25	1.13386	1.13878	1.13352	1.13630	64973	0	0
2015.02.26	1.13625	1.13790	1.11833	1.12016	70813	0	0
2015.02.27	1.12017	1.12445	1.11753	1.11944	70044	0	0
2015.03.01	1.11765	1.11860	1.11592	1.11598	1974	0	0
2015.03.02	1.11625	1.12399	1.11604	1.11757	59547	0	0
2015.03.03	1.11762	1.12171	1.11539	1.11817	44686	0	0
2015.03.04	1.11822	1.11847	1.10608	1.10782	58301	0	0
2015.03.05	1.10784	1.11127	1.09867	1.10307	66374	0	0
2015.03.06	1.10308	1.10315	1.08376	1.08418	65111	0	0
2015.03.08	1.08355	1.08456	1.08219	1.08437	3866	0	0
2015.03.09	1.08436	1.09059	1.08288	1.08339	59320	0	0
2015.03.10	1.08349	1.08353	1.06677	1.07059	88413	0	0
2015.03.11	1.07060	1.07154	1.05106	1.05469	96181	0	0
2015.03.12	1.05473	1.06824	1.04937	1.06256	97135	0	0
2015.03.13	1.06241	1.06321	1.04617	1.04946	82144	0	0
2015.03.15	1.04728	1.05045	1.04721	1.04830	2251	0	0
2015.03.16	1.04840	1.06187	1.04836	1.05709	79678	0	0
2015.03.17	1.05702	1.06501	1.05503	1.05941	36451	0	0
2015.03.18	1.05942	1.10132	1.05795	1.08478	81194	0	0
2015.03.19	1.08441	1.09181	1.06133	1.06678	92002	0	0
2015.03.20	1.06697	1.08810	1.06548	1.08156	76176	0	0
2015.03.22	1.08386	1.08821	1.08145	1.08242	4880	0	0
2015.03.23	1.08232	1.09708	1.07669	1.09435	95340	0	0
2015.03.24	1.09438	1.10280	1.08902	1.09040	103885	0	0
2015.03.25	1.09055	1.10137	1.09055	1.09622	90600	0	0
2015.03.26	1.09635	1.10492	1.08561	1.08840	90059	0	0
2015.03.27	1.08837	1.09447	1.08007	1.08867	92885	0	0
2015.03.29	1.08857	1.08942	1.08792	1.08819	3763	0	0
2015.03.30	1.08809	1.08833	1.08094	1.08283	82514	0	0
2015.03.31	1.08278	1.08424	1.07132	1.07390	83720	0	0
2015.04.01	1.07396	1.07994	1.07183	1.07689	80502	0	0
2015.04.02	1.07691	1.09036	1.07493	1.08689	87517	0	0
2015.04.03	1.08679	1.10248	1.08631	1.09702	30764	0	0
2015.04.05	1.09984	1.10168	1.09865	1.09940	2488	0	0
2015.04.06	1.09941	1.10350	1.09094	1.09334	50882	0	0
2015.04.07	1.09333	1.09541	1.08026	1.08212	99590	0	0
2015.04.08	1.08204	1.08866	1.07637	1.07839	80633	0	0
2015.04.09	1.07837	1.07875	1.06371	1.06657	86879	0	0
2015.04.10	1.06662	1.06828	1.05675	1.06015	75377	0	0
2015.04.12	1.05926	1.06164	1.05849	1.06056	1320	0	0
2015.04.13	1.06063	1.06182	1.05206	1.05713	78271	0	0
2015.04.14	1.05703	1.07060	1.05309	1.06458	36452	0	0
2015.04.15	1.06437	1.07001	1.05706	1.06754	104257	0	0
2015.04.16	1.06745	1.08169	1.06245	1.07571	97968	0	0
2015.04.17	1.07584	1.08473	1.07346	1.08029	81568	0	0
2015.04.19	1.08165	1.08195	1.07875	1.08076	5133	0	0
2015.04.20	1.08053	1.08177	1.07118	1.07476	82300	0	0
2015.04.21	1.07464	1.07795	1.06591	1.07375	76189	0	0
2015.04.22	1.07371	1.08002	1.07081	1.07235	71969	0	0
2015.04.23	1.07225	1.08444	1.06651	1.08131	87892	0	0
2015.04.24	1.08125	1.08987	1.07842	1.08698	87987	0	0
2015.04.26	1.08635	1.08737	1.08583	1.08649	2058	0	0
2015.04.27	1.08655	1.09252	1.08189	1.08756	87774	0	0
2015.04.28	1.08750	1.09899	1.08602	1.09667	75470	0	0
2015.04.29	1.09686	1.11864	1.09588	1.11111	93724	0	0
2015.04.30	1.11115	1.12646	1.10707	1.12106	98511	0	0
2015.05.01	1.12089	1.12892	1.11746	1.11942	73424	0	0
2015.05.03	1.11913	1.11999	1.11813	1.11875	2643	0	0
2015.05.04	1.11875	1.12238	1.11219	1.11479	67563	0	0
